TxID,Method,Sender,TxHash,StartTime,EndTime,LatencyMs,BlockNumber,Status
P11_GrantPersonal_22,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x9907b53e79426200edb34e53eb221ae22ac378b9a8f5c0fcd06cb3b2c8483fd8,39832.361810002476,50936.58128999919,11104.22,5351,SUCCESS
P9_P10_ReqAccess_18,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x6f0bb73a64e9a6394b3021fe31d269b8ebf0b2d357275429e5998c41484b996c,39843.124467000365,50937.43902999908,11094.31,5351,SUCCESS
P11_GrantFinancial_21,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x63a12e421a8903510156a67f601f725de4bce233584ff500c91223904c299279,39841.78422300145,50938.744423002005,11096.96,5351,SUCCESS
P11_GrantPersonal_24,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0xec0e935e5e55f332887fede7270e3f994eede0f5eead2e93f8fdc7311b28cb0f,39840.04825500026,50941.81135899946,11101.76,5351,SUCCESS
P13_ApproveLoan_17,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xeba28330887cae5405a426eabdada1de05654f3b4a8445a5f1f1aa77e718d8a4,39845.34002799913,50942.02320900187,11096.68,5351,SUCCESS
P11_GrantPersonal_25,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x79837e60964f87e5d2a4ca4064b64aaba5d5f0319a2eec2a182f6240931b1b83,39846.76890400052,50942.52692100033,11095.76,5351,SUCCESS
P11_GrantFinancial_24,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0xf5469df037c2c59c966f1121fffa69ec95ff470d7a81e66f5555ab79ea333bef,39847.994059000164,50942.77730499953,11094.78,5351,SUCCESS
P13_ApproveLoan_13,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x2ebf5c1881c974c7ae1ed665ddc2211956e8664a228d1b0862a4ed50ecb1393f,39849.541300002486,50942.94540899992,11093.40,5351,SUCCESS
P13_ApproveLoan_24,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xc56b0d7fde6c1957a8b0f0d94ead8cbea9517d9d2891c7f8bee0ff2fc5e7e3cf,39850.890861000866,50943.581636000425,11092.69,5351,SUCCESS
P13_ApproveLoan_14,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x525dfcf4201032008f00a09f96afa08d64f785f07b81d50e17f89901f49df9a6,39852.56812399998,50943.826152000576,11091.26,5351,SUCCESS
